Attribute;Type;Descripción
pid;pid;"LLave única de identificación del ítem de la colección (""personal identification"")."
label;label;Nombre de la colección
Elemento coleccionable;text;Nombre del elemento coleccionable
Autor de la colección;text;Autor de la colección
Tipo de elementos;text;Tipo de elementos coleccionables (comprado, encontrado, reciclado, restaurado, regalado, robado, elaborado por el autor de la colección, perecedero)
Intención de la colección;text;Intención para coleccionar esos elementos
Tiempo coleccionando;text;Tiempo que lleva coleccionando esos elementos
Valor afectivo;text;Manera de describir el valor emocional que tienen esos elementos para el autor
Vínculo para ver más de la colección;link;Vínculo para explorar más la colección (red social, página web, blog, etc)
